row_num,owner_link,owner_link2,nft_id,value
66,<a href=https://debank.com/profile/0xeac9bf6481cb008ab82df4e65b7654356d19224d target=_blank>👤 0xea...224d</a>,<a href=https://arbiscan.io/address/0xeac9bf6481cb008ab82df4e65b7654356d19224d target=_blank>👤 0xea...224d</a>,812,105948
67,<a href=https://debank.com/profile/0x5cbf8c43b11a3b120d2cc2955f9b638303e0d22f target=_blank>👤 0x5c...d22f</a>,<a href=https://arbiscan.io/address/0x5cbf8c43b11a3b120d2cc2955f9b638303e0d22f target=_blank>👤 0x5c...d22f</a>,1377,105340
68,<a href=https://debank.com/profile/0x89b974c8108eb81f5974ca2fa9468b7ef74978c1 target=_blank>👤 0x89...78c1</a>,<a href=https://arbiscan.io/address/0x89b974c8108eb81f5974ca2fa9468b7ef74978c1 target=_blank>👤 0x89...78c1</a>,"779, 1588, 1754",101768
69,<a href=https://debank.com/profile/0x3863a9b194f9665e4a3564be141975278992b7b0 target=_blank>👤 0x38...b7b0</a>,<a href=https://arbiscan.io/address/0x3863a9b194f9665e4a3564be141975278992b7b0 target=_blank>👤 0x38...b7b0</a>,286,100973
70,<a href=https://debank.com/profile/0x1d9a60325cd837f84f42cee66b3beb09ed29a86b target=_blank>👤 0x1d...a86b</a>,<a href=https://arbiscan.io/address/0x1d9a60325cd837f84f42cee66b3beb09ed29a86b target=_blank>👤 0x1d...a86b</a>,2276,100752
71,<a href=https://debank.com/profile/0x0b047d8a08012dae90124c05d9be68605db34b68 target=_blank>👤 0x0b...4b68</a>,<a href=https://arbiscan.io/address/0x0b047d8a08012dae90124c05d9be68605db34b68 target=_blank>👤 0x0b...4b68</a>,2619,97978
72,<a href=https://debank.com/profile/0x0bda0f33311e65379461d0a555bbd7669c0eaa22 target=_blank>👤 0x0b...aa22</a>,<a href=https://arbiscan.io/address/0x0bda0f33311e65379461d0a555bbd7669c0eaa22 target=_blank>👤 0x0b...aa22</a>,1503,94336
73,<a href=https://debank.com/profile/0x9c0d72f2ac26420cb7eeb155bf401b672840e87b target=_blank>👤 0x9c...e87b</a>,<a href=https://arbiscan.io/address/0x9c0d72f2ac26420cb7eeb155bf401b672840e87b target=_blank>👤 0x9c...e87b</a>,848,94292
74,<a href=https://debank.com/profile/0x7d2fd18d4a21f29520f5ba0c7261e7706b788e51 target=_blank>👤 0x7d...8e51</a>,<a href=https://arbiscan.io/address/0x7d2fd18d4a21f29520f5ba0c7261e7706b788e51 target=_blank>👤 0x7d...8e51</a>,"1803, 1801, 1802, 1695, 1804, 2382, 2383, 2384, 2385, 2386, 2387, 2388, 2389, 2390, 2391, 2392, 2393",93123
75,<a href=https://debank.com/profile/0xfe99cb7011e55f1dd8c376f9134e24ef8a10b14d target=_blank>👤 0xfe...b14d</a>,<a href=https://arbiscan.io/address/0xfe99cb7011e55f1dd8c376f9134e24ef8a10b14d target=_blank>👤 0xfe...b14d</a>,"2480, 2586, 2265, 1820, 1818",92000
76,<a href=https://debank.com/profile/0xf19dcf7b249b4197952ca1c3787cb1a1783396e7 target=_blank>👤 0xf1...96e7</a>,<a href=https://arbiscan.io/address/0xf19dcf7b249b4197952ca1c3787cb1a1783396e7 target=_blank>👤 0xf1...96e7</a>,1516,88848
77,<a href=https://debank.com/profile/0x5181cdf1bb20da04ba788f82989f29e65b67314a target=_blank>👤 0x51...314a</a>,<a href=https://arbiscan.io/address/0x5181cdf1bb20da04ba788f82989f29e65b67314a target=_blank>👤 0x51...314a</a>,256,86698
78,<a href=https://debank.com/profile/0x466928b1e8c757fa1e94db11209ddcf28f86e37a target=_blank>👤 0x46...e37a</a>,<a href=https://arbiscan.io/address/0x466928b1e8c757fa1e94db11209ddcf28f86e37a target=_blank>👤 0x46...e37a</a>,"45, 868",85026
79,<a href=https://debank.com/profile/0xddf8da887a1d5c07d05a948856b79dab091efc78 target=_blank>👤 0xdd...fc78</a>,<a href=https://arbiscan.io/address/0xddf8da887a1d5c07d05a948856b79dab091efc78 target=_blank>👤 0xdd...fc78</a>,222,84024
80,<a href=https://debank.com/profile/0xd24abaf0a01fbf38c827c80539299da18bad2818 target=_blank>👤 0xd2...2818</a>,<a href=https://arbiscan.io/address/0xd24abaf0a01fbf38c827c80539299da18bad2818 target=_blank>👤 0xd2...2818</a>,329,83735
81,<a href=https://debank.com/profile/0xbdf81b19af7848f7384c38e68208885ff0c9f390 target=_blank>👤 0xbd...f390</a>,<a href=https://arbiscan.io/address/0xbdf81b19af7848f7384c38e68208885ff0c9f390 target=_blank>👤 0xbd...f390</a>,723,79351
